personid,male,yr_married,edu,noedu,primary,hs,degree,edcat,yrmove1,agewhenmoved1,upmove1,downmove1,neutralmove1,provcape,provkzn,provgaufree,provref,endjob1_1,endjob1_2,endjob1_3,endjob1_4,endjob1_5,totlifeyrs,calyear,event,spell,dspell2,dspell3,dspell4,dspell5,dspell6,dspell7,dspell8more,duration,dur1,dur2,dur3,dur4,dur5_6,dur7_8,dur9_10,dur11up,dur2_down,dur2_neut,dur2_ejob1_1,dur2_ejob1_2,dur2_ejob1_3,dur2_ejob1_4,dur3_down,dur3_neut,dur3_ejob1_1,dur3_ejob1_2,dur3_ejob1_3,dur3_ejob1_4,dur4_down,dur4_neut,dur4_ejob1_1,dur4_ejob1_2,dur4_ejob1_3,dur4_ejob1_4,dur5_6_down,dur5_6_neut,dur5_6_ejob1_1,dur5_6_ejob1_2,dur5_6_ejob1_3,dur5_6_ejob1_4,dur7_8_down,dur7_8_neut,dur7_8_ejob1_1,dur7_8_ejob1_2,dur7_8_ejob1_3,dur7_8_ejob1_4,dur9_10_down,dur9_10_neut,dur9_10_ejob1_1,dur9_10_ejob1_2,dur9_10_ejob1_3,dur9_10_ejob1_4,dur11up_down,dur11up_neut,dur11up_ejob1_1,dur11up_ejob1_2,dur11up_ejob1_3,dur11up_ejob1_4,censor,priormove,province,urbanplace,yrpre1976,yrpre1986,yrpre1994,yrpost1994,age,lagage,mrg_event,mrg_status,hs_byyr,degree_byyr
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1989,0,3,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,34,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1990,0,3,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,35,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1991,0,3,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,36,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1992,0,3,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,37,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1993,0,3,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,38,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1994,0,3,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,39,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1995,0,3,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,40,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1996,0,3,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,41,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1997,0,3,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,42,25,0,1,0,0
12,1,1979,5,0,1,0,0,1,1979,24,1,0,0,0,0,1,0,0,1,0,0,0,21,1998,0,3,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,43,25,0,1,0,0
