v0303,v0304,v0331,v0332,v0333,v0336,v0341,v0342,v0343,v0346,v0351,v0352,v0353,v0356,v0361,v0362,v0363,v0366,v0371,v0372,v0373,v0376,v0381,v0382,v0383,v0386,v0391,v0392,v0393,v0396,v0401,v0402,v0403,v0406,v0411,v0412,v0413,v0416,v0421,v0422,v0423,v0426,personid,male,birthyear,ageatsurvey,birthplaceurban,birthplaceprov,yr_married,edu,noedu,primary,hs,degree,edcat,totmoves,begprov,begplaceurban,jobbefore1,jobafter1,mt1cat,yrmove1,agewhenmoved1,upmove1,downmove1,neutralmove1,prov1,prov2,prov3,prov4,prov5,prov6,prov7,prov8,prov9,prov10,startjob1,startjob2,startjob3,startjob4,startjob5,mvetype1,mvetype2,mvetype3,mvetype4
Eastern ,275,Western ,107,Urban,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,275,Rural,1998,Western ,107,Urban,1999,42,0,1963,36,0,3,1978,8,0,0,1,0,2,3,2,1,4,4,4,1997,34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Western ,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,261,Rural,1986,Western ,107,Urban,1991,43,0,1969,30,1,2,1993,0,1,0,0,0,0,2,3,0,4,4,2,1986,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1996,45,0,1975,24,1,8,9999,4,0,1,0,0,1,1,2,1,4,3,3,1996,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eastern ,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1993,46,0,1977,22,0,3,1993,10,0,0,1,0,2,1,2,1,4,3,3,1993,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Western ,105,Eastern ,270,Rural,1959,Eastern ,253,Rural,1962,Eastern ,219,Urban,1977,,,,,,,,,,,,,,,,,,,,,Eastern ,271,Rural,1977,Western ,107,Urban,1982,47,0,1944,55,1,3,9999,5,0,1,0,0,1,5,3,0,4,4,2,1959,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,107,Urban,1951,48,1,1936,63,1,2,1997,0,1,0,0,0,0,1,2,1,4,3,1,1951,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Eastern ,272,Western ,106,Urban,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,272,Urban,1985,Western ,107,Urban,1987,49,0,1966,33,1,3,1998,7,0,1,0,0,1,3,2,1,4,4,2,1985,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,261,Western ,107,Urban,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,261,Urban,1998,Western ,107,Urban,1998,50,0,1976,23,1,3,9999,12,0,0,1,0,2,3,2,1,4,3,2,1997,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Western ,106,Western ,106,Urban,1983,Eastern ,275,Rural,1986,Western ,106,Urban,1989,Eastern ,275,Rural,1989,,,,,,,,,,,,,,,,,Gauteng,715,Urban,1992,Western ,107,Urban,1992,52,0,1974,25,0,3,1998,7,0,1,0,0,1,6,2,1,4,4,2,1983,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Western ,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,226,Urban,1991,Western ,106,Urban,1991,57,1,1962,37,1,2,1985,7,0,1,0,0,1,2,3,1,3,4,1,1991,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
